Date,PX_LAST,PX_VOLUME
11/3/2015,53.63,2370921
11/4/2015,54.16,2824092
11/5/2015,53.72,2902599
11/6/2015,51.93,4892330
11/9/2015,52.5,3454989
11/10/2015,53.37,2730882
11/11/2015,53.67,2668546
11/12/2015,52.79,1734943
11/13/2015,52.26,2074534
11/16/2015,53.44,2170973
11/17/2015,52.15,2870681
11/18/2015,52.67,2248016
11/19/2015,53.19,1663089
11/20/2015,53.58,1874623
11/23/2015,52.73,2955378
11/24/2015,52.55,2684905
11/25/2015,52.36,1361993
11/27/2015,52.77,726246
11/30/2015,52.73,3410192
12/1/2015,52.93,1619575
12/2/2015,52.22,2979340
12/3/2015,51.81,3279466
12/4/2015,53.12,4915560
12/7/2015,53.14,3506415
12/8/2015,52.72,2377580
12/9/2015,52.57,2223813
12/10/2015,51.65,3091523
12/11/2015,51.71,2292354
12/14/2015,52.28,2025432
12/15/2015,52.7,2830837
12/16/2015,54.23,2453242
12/17/2015,53.85,2723365
12/18/2015,53.11,4426644
12/21/2015,53.06,1800865
12/22/2015,53.21,1453498
12/23/2015,54.08,1625801
12/24/2015,53.94,592163
12/28/2015,53.98,1383797
12/29/2015,53.81,1143136
12/30/2015,53.92,1419172
12/31/2015,53.19,1753611
1/4/2016,52.94,2201507
1/5/2016,53.02,2345654
1/6/2016,52.72,2599328
1/7/2016,52.46,2331117
1/8/2016,52.06,3351484
1/11/2016,52.23,3605362
1/12/2016,52.56,3495194
1/13/2016,52.29,2934975
1/14/2016,53.41,3362715
1/15/2016,52.47,4201582
1/19/2016,52.98,4674752
1/20/2016,51.29,4104763
1/21/2016,51.48,3606137
1/22/2016,52.36,3674691
1/25/2016,51.61,2125099
1/26/2016,52.14,3367750
1/27/2016,52.73,3824949
1/28/2016,53.76,2223976
1/29/2016,54.91,3727550
2/1/2016,55.46,3141497
2/2/2016,56.67,6190116
2/3/2016,57.46,3970711
2/4/2016,56.33,4175940
2/5/2016,56.24,3687181
2/8/2016,56.3,3841347
2/9/2016,55.92,5979971
2/10/2016,56.17,4100293
2/11/2016,55.16,3672496
2/12/2016,55.21,2877339
2/16/2016,55.75,2939883
2/17/2016,55.81,3998633
2/18/2016,56,4134384
2/19/2016,55.89,4175165
2/22/2016,56.48,3044157
2/23/2016,57.22,2680251
2/24/2016,57.46,2873627
2/25/2016,58.34,2755300
2/26/2016,56.43,2557313
2/29/2016,56.73,3185953
3/1/2016,56.21,2868633
3/2/2016,56.23,2666003
3/3/2016,56.29,2171678
3/4/2016,56.5,3636640
3/7/2016,56.47,3824431
3/8/2016,56.94,3398356
3/9/2016,57.28,2035183
3/10/2016,57.04,2023398
3/11/2016,57.32,2304131
3/14/2016,57.54,2040177
3/15/2016,57.48,2485514
3/16/2016,58.06,2669540
3/17/2016,59,3023733
3/18/2016,58.74,5690536
3/21/2016,58.58,1644128
3/22/2016,58.57,1726814
3/23/2016,58.96,1545730
3/24/2016,58.85,2026340
3/28/2016,58.52,1703344
3/29/2016,59.19,2252810
3/30/2016,59.44,2743420
3/31/2016,59.72,2810866
4/1/2016,59.83,2277769
4/4/2016,59.52,2529708
4/5/2016,58.23,3240668
4/6/2016,58.67,4013140
4/7/2016,58.75,1829508
4/8/2016,59.3,2367151
4/11/2016,58.9,2213161
4/12/2016,59.21,1762544
4/13/2016,58.83,1635706
4/14/2016,58.85,1803041
4/15/2016,59.28,2266107
4/18/2016,59.55,1809860
4/19/2016,59.58,2133526
4/20/2016,58.4,3051089
4/21/2016,56.62,3644714
4/22/2016,56.99,2410892
4/25/2016,57.1,1764782
4/26/2016,57,1523665
4/27/2016,57.76,2155122
4/28/2016,57.76,1462815
4/29/2016,58.2,1896037
5/2/2016,58.67,1791213
5/3/2016,59.01,2782134
5/4/2016,59.14,3680926
5/5/2016,59.15,2516924
5/6/2016,59,2325430
5/9/2016,59.12,1544667
5/10/2016,59.25,1947734
5/11/2016,59.14,2588271
5/12/2016,59.24,3716726
5/13/2016,59.17,2129102
5/16/2016,59.1,1825644
5/17/2016,57.65,2732413
5/18/2016,57.01,3347016
5/19/2016,57.54,1550350
5/20/2016,57.63,2164897
5/23/2016,57.61,2641234
5/24/2016,58.54,2511569
5/25/2016,58.45,1903920
5/26/2016,59.39,1944866
5/27/2016,59.52,2039156
5/31/2016,60.08,3375029
6/1/2016,60.31,2079237
6/2/2016,60.6,1879243
6/3/2016,61.55,3048742
6/6/2016,61.3,1452969
6/7/2016,61.64,2347857
6/8/2016,62.01,1945680
6/9/2016,62.98,2420006
6/10/2016,63.02,2306732
6/13/2016,62.6,2174200
6/14/2016,62.98,1523538
6/15/2016,62.35,2019360
6/16/2016,62.95,2678089
6/17/2016,63.02,3640348
6/20/2016,62.57,2705644
6/21/2016,62.63,4283712
6/22/2016,62.15,2761111
6/23/2016,62.13,2179537
6/24/2016,62.66,4832258
6/27/2016,63.17,3445146
6/28/2016,62.4,4076697
6/29/2016,62.58,4018737
6/30/2016,63.92,3851371
7/1/2016,64.03,2331185
7/5/2016,64.89,2873712
7/6/2016,65.39,5048899
7/7/2016,64.4,4517275
7/8/2016,64.83,2813925
7/11/2016,64.73,2070988
7/12/2016,63.7,2676884
7/13/2016,64.56,2536846
7/14/2016,64.2,2936172
7/15/2016,64.62,3029141
7/18/2016,64.52,2889614
7/19/2016,64.41,1868876
7/20/2016,64.26,2017133
7/21/2016,64.16,3172138
7/22/2016,65.02,2921903
7/25/2016,64.93,1762449
7/26/2016,64.16,2496467
7/27/2016,63.95,1945538
7/28/2016,63.75,2511903
7/29/2016,63.94,2725450
8/1/2016,64.15,1922023
8/2/2016,64.33,3328733
8/3/2016,64.55,3648847
8/4/2016,64.51,2958798
8/5/2016,63.9,2954026
8/8/2016,63.51,1960697
8/9/2016,63.46,2583671
